timestamp,trial,ball_x,cup_x,zone,success,difficulty,game_type
1753148651.4022334,1,140,87,left,1,3,diagonal_fixed
1753148652.8733218,2,584,524,right,1,3,diagonal_fixed
1753148654.3279655,3,84,15,left,1,3,diagonal_fixed
1753148655.785068,4,528,439,center,1,3,diagonal_fixed
1753148657.2572594,5,108,44,left,1,3,diagonal_fixed
1753148658.7295141,6,532,509,center,1,3,diagonal_fixed
1753148660.201239,7,296,266,center,1,3,diagonal_fixed
1753148661.6726913,8,576,512,right,1,3,diagonal_fixed
1753148663.1606028,9,362,358,center,1,3,diagonal_fixed
1753148664.632039,10,596,581,right,1,3,diagonal_fixed
