session_id,tester_id,mode,level,attempt_number,total_trials,successful_trials,failed_trials,success_rate_percent,failure_rate_percent,caught_trials,catch_rate_percent,dump_success_trials,dump_success_rate_percent,avg_accuracy_percent_for_analysis,avg_raw_accuracy_percent,missing_accuracy_trials,avg_endpoint_error,avg_trail_point_count
session_diagonal_fixed_1758594475,T2,diagonal,2,2,10,9,1,90.0,10.0,10,100.0,9,90.0,79.51,79.51,0,46.9,57.8
session_diagonal_fixed_1758594571,T2,diagonal,3,1,10,8,2,80.0,20.0,8,80.0,8,80.0,63.72,79.65,2,84.1,72.0
session_diagonal_fixed_1758595473,T2,diagonal,3,2,10,8,2,80.0,20.0,10,100.0,8,80.0,70.8,70.8,0,44.8,85.2
session_diagonal_fixed_1758595546,T2,diagonal,4,1,10,4,6,40.0,60.0,6,60.0,4,40.0,46.31,77.18,4,65.0,59.5
session_diagonal_fixed_1758595633,T2,diagonal,4,2,10,7,3,70.0,30.0,8,80.0,7,70.0,60.02,75.03,2,51.6,74.1
session_diagonal_fixed_1758596221,T2,diagonal,5,1,10,6,4,60.0,40.0,7,70.0,6,60.0,52.95,75.64,3,57.0,88.5
session_diagonal_fixed_1758596299,T2,diagonal,5,2,10,6,4,60.0,40.0,6,60.0,6,60.0,45.84,76.4,4,105.4,69.9
session_horizontal_fixed_1757887693,T1,horizontal,1,1,10,10,0,100.0,0.0,10,100.0,10,100.0,86.51,86.51,0,54.7,88.3
session_horizontal_fixed_1757957526,T1,horizontal,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,84.26,84.26,0,52.6,68.3
session_horizontal_fixed_1757982851,T1,horizontal,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,81.82,81.82,0,66.6,79.9
session_horizontal_fixed_1758124898,T1,horizontal,2,2,10,9,1,90.0,10.0,9,90.0,9,90.0,76.25,84.72,1,57.7,64.4
session_horizontal_fixed_1758125431,T1,horizontal,3,1,10,8,2,80.0,20.0,9,90.0,8,80.0,72.26,80.29,1,81.3,118.6
session_horizontal_fixed_1758126004,T1,horizontal,3,2,10,8,2,80.0,20.0,8,80.0,8,80.0,65.89,82.36,2,72.9,117.3
session_horizontal_fixed_1758126158,T1,horizontal,4,1,10,7,3,70.0,30.0,7,70.0,7,70.0,57.13,81.61,3,94.4,116.1
session_horizontal_fixed_1758126303,T1,horizontal,4,2,10,7,3,70.0,30.0,8,80.0,7,70.0,62.7,78.38,2,63.3,117.7
session_horizontal_fixed_1758126439,T1,horizontal,5,1,10,5,5,50.0,50.0,6,60.0,5,50.0,47.12,78.53,4,109.8,111.9
session_horizontal_fixed_1758126847,T1,horizontal,5,2,10,7,3,70.0,30.0,8,80.0,7,70.0,63.87,79.84,2,63.2,134.2
session_horizontal_fixed_1758584714,T2,horizontal,1,1,10,9,1,90.0,10.0,9,90.0,9,90.0,75.69,84.1,1,65.0,47.0
session_horizontal_fixed_1758584809,T2,horizontal,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,83.24,83.24,0,57.8,47.9
session_horizontal_fixed_1758587054,T2,horizontal,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,79.28,79.28,0,58.8,49.3
session_horizontal_fixed_1758587183,T2,horizontal,2,2,10,10,0,100.0,0.0,10,100.0,10,100.0,79.43,79.43,0,44.2,53.5
session_horizontal_fixed_1758587278,T2,horizontal,3,1,10,7,3,70.0,30.0,8,80.0,7,70.0,62.08,77.6,2,37.0,66.2
session_horizontal_fixed_1758587410,T2,horizontal,3,2,10,9,1,90.0,10.0,10,100.0,9,90.0,72.85,72.85,0,32.8,102.3
session_horizontal_fixed_1758587525,T2,horizontal,4,1,10,8,2,80.0,20.0,9,90.0,8,80.0,64.58,71.76,1,61.2,104.6
session_horizontal_fixed_1758587622,T2,horizontal,4,2,10,7,3,70.0,30.0,8,80.0,7,70.0,56.1,70.12,2,90.8,83.9
session_horizontal_fixed_1758587735,T2,horizontal,5,1,10,6,4,60.0,40.0,7,70.0,6,60.0,47.14,67.34,3,84.4,85.8
session_horizontal_fixed_1758587948,T2,horizontal,5,2,10,7,3,70.0,30.0,7,70.0,7,70.0,56.48,80.69,3,125.3,94.0
session_vertical_fixed_1758152129,T1,vertical,1,1,10,9,1,90.0,10.0,9,90.0,9,90.0,74.81,83.12,1,30.4,66.2
session_vertical_fixed_1758152278,T1,vertical,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,84.97,84.97,0,20.0,76.3
session_vertical_fixed_1758152428,T1,vertical,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,80.49,80.49,0,16.0,77.9
session_vertical_fixed_1758152786,T1,vertical,2,2,10,9,1,90.0,10.0,9,90.0,9,90.0,76.18,84.64,1,27.2,62.2
session_vertical_fixed_1758152921,T1,vertical,3,1,10,8,2,80.0,20.0,9,90.0,8,80.0,64.32,71.47,1,36.8,114.7
session_vertical_fixed_1758153220,T1,vertical,3,2,10,10,0,100.0,0.0,10,100.0,10,100.0,82.29,82.29,0,20.0,117.1
session_vertical_fixed_1758153555,T1,vertical,4,1,10,7,3,70.0,30.0,8,80.0,7,70.0,63.03,78.79,2,33.6,123.5
session_vertical_fixed_1758153678,T1,vertical,4,2,10,8,2,80.0,20.0,8,80.0,8,80.0,61.23,76.54,2,33.6,119.1
session_vertical_fixed_1758154496,T1,vertical,5,1,10,6,4,60.0,40.0,8,80.0,6,60.0,52.05,65.06,2,50.0,148.9
session_vertical_fixed_1758154673,T1,vertical,5,2,10,8,2,80.0,20.0,8,80.0,8,80.0,62.8,78.5,2,44.0,140.9
session_vertical_fixed_1758588591,T2,vertical,1,1,10,7,3,70.0,30.0,9,90.0,7,70.0,62.03,68.92,1,30.4,39.9
session_vertical_fixed_1758588715,T2,vertical,1,2,10,9,1,90.0,10.0,10,100.0,9,90.0,80.96,80.96,0,20.0,54.8
session_vertical_fixed_1758588825,T2,vertical,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,77.7,77.7,0,16.0,56.5
session_vertical_fixed_1758589085,T2,vertical,2,2,10,9,1,90.0,10.0,9,90.0,9,90.0,73.44,81.6,1,27.2,54.8
session_vertical_fixed_1758589209,T2,vertical,3,1,10,9,1,90.0,10.0,9,90.0,9,90.0,73.7,81.89,1,30.4,100.3
session_vertical_fixed_1758589313,T2,vertical,3,2,10,9,1,90.0,10.0,9,90.0,9,90.0,70.41,78.23,1,36.0,77.3
session_vertical_fixed_1758589423,T2,vertical,4,1,10,8,2,80.0,20.0,9,90.0,8,80.0,71.28,79.2,1,20.8,101.6
session_vertical_fixed_1758589544,T2,vertical,4,2,10,9,1,90.0,10.0,9,90.0,9,90.0,71.28,79.2,1,20.8,95.7
session_vertical_fixed_1758589887,T2,vertical,5,1,10,6,4,60.0,40.0,9,90.0,6,60.0,51.58,57.31,1,30.0,110.6
session_vertical_fixed_1758589983,T2,vertical,5,2,10,6,4,60.0,40.0,6,60.0,6,60.0,46.28,77.13,4,72.0,76.4
