timestamp,trial,ball_x,cup_x,zone,success,difficulty,game_type
1753569263.522645,1,140,95,left,1,3,diagonal_fixed
1753569264.9927936,2,584,529,right,1,3,diagonal_fixed
1753569266.4661958,3,84,32,left,1,3,diagonal_fixed
1753569267.9197664,4,528,477,center,1,3,diagonal_fixed
1753569269.394358,5,108,76,left,1,3,diagonal_fixed
1753569270.8493464,6,532,488,center,1,3,diagonal_fixed
1753569272.3213744,7,296,243,center,1,3,diagonal_fixed
1753569273.7924616,8,576,518,right,1,3,diagonal_fixed
1753569275.505871,9,416,477,center,0,3,diagonal_fixed
1753569276.9785118,10,596,579,right,1,3,diagonal_fixed
